path,size_bytes,created,modified,extension,a_ts_sql,preview
C:\Users\ICG332\AppData\Local\Temp\~vs8BF1.sql,6229,2025-08-06 21:29:50.416963,2025-08-06 21:55:15.936718,.sql,True,SELECT
C:\Users\ICG332\AppData\Local\Temp\~vsB8A1.sql,6237,2025-08-06 21:24:50.448686,2025-08-06 21:24:50.465651,.sql,True,SELECT
C:\Users\ICG332\AppData\Local\Temp\~vsFA2F.sql,6286,2025-08-06 21:24:50.387059,2025-08-06 21:24:50.435944,.sql,True,SELECT
C:\Users\ICG332\Downloads\Requte_deplacement_improductifs.sql,5434,2025-07-29 15:18:33.121754,2025-08-01 10:56:52.197242,.sql,True,SELECT TOP (100)
C:\Users\ICG332\OneDrive - SUEZ\Documents\Visual Studio 2017\Backup Files\Solution1\Original-août-07-2025-0735.~vs8BF1.sql,0,2025-08-07 07:35:44.068869,2025-08-06 21:29:36.976246,.sql,False,
C:\Users\ICG332\OneDrive - SUEZ\Documents\Visual Studio 2017\Backup Files\Solution1\Original-août-07-2025-0735.~vsB8A1.sql,0,2025-08-07 07:35:44.048504,2025-08-06 21:21:04.134832,.sql,False,
C:\Users\ICG332\OneDrive - SUEZ\Documents\Visual Studio 2017\Backup Files\Solution1\Original-août-07-2025-0735.~vsFA2F.sql,0,2025-08-07 07:35:44.011291,2025-08-06 21:21:20.903608,.sql,False,
C:\Users\ICG332\OneDrive - SUEZ\Documents\Visual Studio 2017\Backup Files\Solution1\Recovered-août-07-2025-0735.~vs8BF1.sql,6229,2025-08-07 07:35:44.080409,2025-08-06 21:55:15.936718,.sql,True,SELECT
C:\Users\ICG332\OneDrive - SUEZ\Documents\Visual Studio 2017\Backup Files\Solution1\Recovered-août-07-2025-0735.~vsB8A1.sql,6237,2025-08-07 07:35:44.060999,2025-08-06 21:24:50.465651,.sql,True,SELECT
C:\Users\ICG332\OneDrive - SUEZ\Documents\Visual Studio 2017\Backup Files\Solution1\Recovered-août-07-2025-0735.~vsFA2F.sql,6286,2025-08-07 07:35:44.038729,2025-08-06 21:24:50.435944,.sql,True,SELECT
